"Date","Currency","Mean","Buy","Sell"
"30/12/2016","US DOLLAR","102.4858","102.3872","102.5844"
"29/12/2016","US DOLLAR","102.4433","102.3433","102.5433"
"28/12/2016","US DOLLAR","102.3589","102.2589","102.4589"
"23/12/2016","US DOLLAR","102.3578","102.2578","102.4578"
"22/12/2016","US DOLLAR","102.3472","102.2472","102.4472"
"21/12/2016","US DOLLAR","102.3017","102.2072","102.3961"
"20/12/2016","US DOLLAR","102.2417","102.1417","102.3417"
"20/12/2016","US DOLLAR","102.2417","102.1417","102.3417"
"19/12/2016","US DOLLAR","102.1978","102.0978","102.2978"
"16/12/2016","US DOLLAR","102.1861","102.0861","102.2861"
"15/12/2016","US DOLLAR","102.1006","102.0006","102.2006"
"14/12/2016","US DOLLAR","102.0978","101.9978","102.1978"
"13/12/2016","US DOLLAR","102.0817","101.9817","102.1817"
"09/12/2016","US DOLLAR","101.9739","101.8739","102.0739"
"08/12/2016","US DOLLAR","101.9731","101.8772","102.0689"
"07/12/2016","US DOLLAR","101.9144","101.8144","102.0144"
"06/12/2016","US DOLLAR","101.8739","101.7739","101.9739"
"05/12/2016","US DOLLAR","101.8700","101.7700","101.9700"
"02/12/2016","US DOLLAR","101.8586","101.7628","101.9544"
"01/12/2016","US DOLLAR","101.8503","101.7544","101.9461"
"30/11/2016","US DOLLAR","101.8769","101.7811","101.9728"
"29/11/2016","US DOLLAR","101.8756","101.7756","101.9756"
"28/11/2016","US DOLLAR","101.8939","101.7939","101.9939"
"25/11/2016","US DOLLAR","101.8733","101.7733","101.9733"
"24/11/2016","US DOLLAR","101.8650","101.7650","101.9650"
"23/11/2016","US DOLLAR","101.8528","101.7528","101.9528"
"22/11/2016","US DOLLAR","101.8556","101.7556","101.9556"
"21/11/2016","US DOLLAR","101.8444","101.7472","101.9417"
"18/11/2016","US DOLLAR","101.8278","101.7278","101.9278"
"17/11/2016","US DOLLAR","101.8533","101.7533","101.9533"
"16/11/2016","US DOLLAR","101.7717","101.6717","101.8717"
"15/11/2016","US DOLLAR","101.7667","101.6694","101.8639"
"14/11/2016","US DOLLAR","101.7417","101.6417","101.8417"
"11/11/2016","US DOLLAR","101.7028","101.6072","101.7983"
"10/11/2016","US DOLLAR","101.6983","101.5983","101.7983"
"09/11/2016","US DOLLAR","101.7208","101.6228","101.8189"
"08/11/2016","US DOLLAR","101.6222","101.5222","101.7222"
"07/11/2016","US DOLLAR","101.6578","101.5633","101.7522"
"04/11/2016","US DOLLAR","101.5911","101.4911","101.6911"
"03/11/2016","US DOLLAR","101.5661","101.4717","101.6606"
"02/11/2016","US DOLLAR","101.5239","101.4267","101.6211"
"01/11/2016","US DOLLAR","101.4761","101.3789","101.5733"
"31/10/2016","US DOLLAR","101.4586","101.3600","101.5572"
"28/10/2016","US DOLLAR","101.4342","101.3394","101.5289"
"27/10/2016","US DOLLAR","101.3828","101.2856","101.4800"
"26/10/2016","US DOLLAR","101.3883","101.2883","101.4883"
"25/10/2016","US DOLLAR","101.4039","101.3067","101.5011"
"24/10/2016","US DOLLAR","101.3700","101.2728","101.4672"
"21/10/2016","US DOLLAR","101.3150","101.2178","101.4122"
"19/10/2016","US DOLLAR","101.3078","101.2078","101.4078"
"18/10/2016","US DOLLAR","101.3528","101.2528","101.4528"
"17/10/2016","US DOLLAR","101.3583","101.2622","101.4544"
"14/10/2016","US DOLLAR","101.3475","101.2517","101.4433"
"13/10/2016","US DOLLAR","101.2892","101.1961","101.3822"
"12/10/2016","US DOLLAR","101.2953","101.1994","101.3911"
"11/10/2016","US DOLLAR","101.2847","101.1889","101.3806"
"10/10/2016","US DOLLAR","101.2653","101.1667","101.3639"
"07/10/2016","US DOLLAR","101.2500","101.1528","101.3472"
"06/10/2016","US DOLLAR","101.2700","101.1700","101.3700"
"05/10/2016","US DOLLAR","101.2600","101.1628","101.3572"
"04/10/2016","US DOLLAR","101.2139","101.1167","101.3111"
"03/10/2016","US DOLLAR","101.2206","101.1261","101.3150"
"30/09/2016","US DOLLAR","101.2617","101.1617","101.3617"
"29/09/2016","US DOLLAR","101.3133","101.2161","101.4106"
"28/09/2016","US DOLLAR","101.2844","101.1872","101.3817"
"27/09/2016","US DOLLAR","101.3011","101.2039","101.3983"
"26/09/2016","US DOLLAR","101.1944","101.0972","101.2917"
"23/09/2016","US DOLLAR","101.2100","101.1128","101.3072"
"22/09/2016","US DOLLAR","101.2706","101.1706","101.3706"
"21/09/2016","US DOLLAR","101.2628","101.1628","101.3628"
"20/09/2016","US DOLLAR","101.2856","101.1856","101.3856"
"19/09/2016","US DOLLAR","101.2906","101.1906","101.3906"
"16/09/2016","US DOLLAR","101.2872","101.1872","101.3872"
"15/09/2016","US DOLLAR","101.2728","101.1728","101.3728"
"14/09/2016","US DOLLAR","101.1844","101.0872","101.2817"
"13/09/2016","US DOLLAR","101.2044","101.1044","101.3044"
"09/09/2016","US DOLLAR","101.3028","101.2056","101.4000"
"08/09/2016","US DOLLAR","101.3194","101.2194","101.4194"
"07/09/2016","US DOLLAR","101.3167","101.2167","101.4167"
"06/09/2016","US DOLLAR","101.2739","101.1767","101.3711"
"05/09/2016","US DOLLAR","101.2356","101.1383","101.3328"
"02/09/2016","US DOLLAR","101.2983","101.1983","101.3983"
"01/09/2016","US DOLLAR","101.3250","101.2306","101.4194"
"31/08/2016","US DOLLAR","101.3589","101.2589","101.4589"
"30/08/2016","US DOLLAR","101.3889","101.2889","101.4889"
"29/08/2016","US DOLLAR","101.3817","101.2817","101.4817"
"26/08/2016","US DOLLAR","101.3661","101.2661","101.4661"
"25/08/2016","US DOLLAR","101.3744","101.2744","101.4744"
"24/08/2016","US DOLLAR","101.3506","101.2589","101.4422"
"23/08/2016","US DOLLAR","101.3756","101.2811","101.4700"
"22/08/2016","US DOLLAR","101.3550","101.2578","101.4522"
"19/08/2016","US DOLLAR","101.3722","101.2722","101.4722"
"18/08/2016","US DOLLAR","101.4139","101.3222","101.5056"
"17/08/2016","US DOLLAR","101.4811","101.3811","101.5811"
"16/08/2016","US DOLLAR","101.4617","101.3617","101.5617"
"15/08/2016","US DOLLAR","101.4639","101.3639","101.5639"
"12/08/2016","US DOLLAR","101.4744","101.3744","101.5744"
"11/08/2016","US DOLLAR","101.4939","101.3939","101.5939"
"10/08/2016","US DOLLAR","101.4744","101.3772","101.5717"
"09/08/2016","US DOLLAR","101.4489","101.3489","101.5489"
"08/08/2016","US DOLLAR","101.3794","101.2794","101.4794"
"05/08/2016","US DOLLAR","101.3939","101.2939","101.4939"
"04/08/2016","US DOLLAR","101.4067","101.3067","101.5067"
"03/08/2016","US DOLLAR","101.4117","101.3117","101.5117"
"02/08/2016","US DOLLAR","101.4111","101.3111","101.5111"
"01/08/2016","US DOLLAR","101.3972","101.2972","101.4972"
"29/07/2016","US DOLLAR","101.3889","101.2917","101.4861"
"28/07/2016","US DOLLAR","101.3900","101.2928","101.4872"
"27/07/2016","US DOLLAR","101.3167","101.2167","101.4167"
"26/07/2016","US DOLLAR","101.3894","101.2867","101.4922"
"25/07/2016","US DOLLAR","101.5450","101.4478","101.6422"
"22/07/2016","US DOLLAR","101.5544","101.4600","101.6489"
"21/07/2016","US DOLLAR","101.5778","101.4778","101.6778"
"20/07/2016","US DOLLAR","101.5678","101.4678","101.6678"
"19/07/2016","US DOLLAR","101.4781","101.3822","101.5739"
"18/07/2016","US DOLLAR","101.3847","101.2917","101.4778"
"15/07/2016","US DOLLAR","101.3372","101.2400","101.4344"
"14/07/2016","US DOLLAR","101.3400","101.2400","101.4400"
"13/07/2016","US DOLLAR","101.2872","101.1900","101.3844"
"12/07/2016","US DOLLAR","101.2683","101.1683","101.3683"
"11/07/2016","US DOLLAR","101.2372","101.1428","101.3317"
"08/07/2016","US DOLLAR","101.1722","101.0806","101.2639"
"06/07/2016","US DOLLAR","101.1194","101.0306","101.2083"
"05/07/2016","US DOLLAR","101.1042","101.0139","101.1944"
"04/07/2016","US DOLLAR","101.0867","100.9950","101.1783"
"01/07/2016","US DOLLAR","101.0861","100.9917","101.1806"
"30/06/2016","US DOLLAR","101.1022","101.0050","101.1994"
"29/06/2016","US DOLLAR","101.2100","101.1156","101.3044"
"28/06/2016","US DOLLAR","101.2417","101.1472","101.3361"
"27/06/2016","US DOLLAR","101.2400","101.1400","101.3400"
"24/06/2016","US DOLLAR","101.2739","101.1739","101.3739"
"23/06/2016","US DOLLAR","101.2108","101.1122","101.3094"
"22/06/2016","US DOLLAR","101.1958","101.1000","101.2917"
"21/06/2016","US DOLLAR","101.2456","101.1483","101.3428"
"20/06/2016","US DOLLAR","101.2336","101.1406","101.3267"
"17/06/2016","US DOLLAR","101.2603","101.1617","101.3589"
"16/06/2016","US DOLLAR","101.2514","101.1528","101.3500"
"15/06/2016","US DOLLAR","101.1442","101.0539","101.2344"
"14/06/2016","US DOLLAR","101.1275","101.0289","101.2261"
"13/06/2016","US DOLLAR","101.1042","101.0083","101.2000"
"10/06/2016","US DOLLAR","101.1203","101.0272","101.2133"
"09/06/2016","US DOLLAR","101.0889","100.9889","101.1889"
"08/06/2016","US DOLLAR","101.1278","101.0361","101.2194"
"07/06/2016","US DOLLAR","101.1083","101.0111","101.2056"
"06/06/2016","US DOLLAR","101.0042","100.9083","101.1000"
"03/06/2016","US DOLLAR","100.9022","100.8022","101.0022"
"02/06/2016","US DOLLAR","100.8444","100.7500","100.9389"
"31/05/2016","US DOLLAR","100.8306","100.7306","100.9306"
"30/05/2016","US DOLLAR","100.6606","100.5689","100.7522"
"27/05/2016","US DOLLAR","100.6619","100.5661","100.7578"
"26/05/2016","US DOLLAR","100.6722","100.5750","100.7694"
"25/05/2016","US DOLLAR","100.8714","100.7722","100.9706"
"24/05/2016","US DOLLAR","100.9272","100.8300","101.0244"
"23/05/2016","US DOLLAR","100.7947","100.7044","100.8850"
"20/05/2016","US DOLLAR","100.6913","100.5972","100.7853"
"19/05/2016","US DOLLAR","100.9712","100.8778","101.0647"
"18/05/2016","US DOLLAR","100.8299","100.7333","100.9265"
"17/05/2016","US DOLLAR","100.7127","100.6194","100.8059"
"16/05/2016","US DOLLAR","100.6711","100.5733","100.7688"
"13/05/2016","US DOLLAR","100.6000","100.5000","100.7000"
"12/05/2016","US DOLLAR","100.6339","100.5372","100.7306"
"11/05/2016","US DOLLAR","100.6873","100.5906","100.7841"
"10/05/2016","US DOLLAR","100.5211","100.4233","100.6188"
"09/05/2016","US DOLLAR","100.4730","100.3767","100.5694"
"06/05/2016","US DOLLAR","100.5744","100.4794","100.6694"
"05/05/2016","US DOLLAR","100.6942","100.5972","100.7912"
"04/05/2016","US DOLLAR","100.7896","100.6928","100.8865"
"03/05/2016","US DOLLAR","101.1108","101.0133","101.2082"
"29/04/2016","US DOLLAR","101.1413","101.0472","101.2353"
"28/04/2016","US DOLLAR","101.1817","101.0917","101.2718"
"27/04/2016","US DOLLAR","101.2029","101.1100","101.2959"
"26/04/2016","US DOLLAR","101.2172","101.1239","101.3106"
"25/04/2016","US DOLLAR","101.2115","101.1183","101.3047"
"22/04/2016","US DOLLAR","101.1400","101.0489","101.2312"
"21/04/2016","US DOLLAR","101.1342","101.0389","101.2294"
"20/04/2016","US DOLLAR","101.1560","101.0572","101.2547"
"19/04/2016","US DOLLAR","101.2046","101.1044","101.3047"
"18/04/2016","US DOLLAR","101.2194","101.1189","101.3200"
"15/04/2016","US DOLLAR","101.1662","101.0700","101.2624"
"14/04/2016","US DOLLAR","101.1370","101.0417","101.2324"
"13/04/2016","US DOLLAR","101.1275","101.0339","101.2212"
"12/04/2016","US DOLLAR","101.0896","100.9928","101.1865"
"11/04/2016","US DOLLAR","101.1306","101.0311","101.2300"
"08/04/2016","US DOLLAR","101.3413","101.2444","101.4382"
"07/04/2016","US DOLLAR","101.3157","101.2167","101.4147"
"06/04/2016","US DOLLAR","101.3785","101.2806","101.4765"
"05/04/2016","US DOLLAR","101.4799","101.3833","101.5765"
"04/04/2016","US DOLLAR","101.4292","101.3283","101.5300"
"01/04/2016","US DOLLAR","101.3928","101.2961","101.4894"
"31/03/2016","US DOLLAR","101.3339","101.2372","101.4306"
"30/03/2016","US DOLLAR","101.5249","101.4322","101.6176"
"29/03/2016","US DOLLAR","101.5292","101.4383","101.6200"
"24/03/2016","US DOLLAR","101.5218","101.4283","101.6153"
"23/03/2016","US DOLLAR","101.5248","101.4283","101.6212"
"22/03/2016","US DOLLAR","101.4863","101.3867","101.5859"
"21/03/2016","US DOLLAR","101.4599","101.3639","101.5559"
